Unique Name,Dust,
Replica Loreweave,77260,
Yaomac's Accord,77260,
Replica Stampede,75000,
The Devourer of Minds,75000,
Shavronne's Wrappings,72820,
Darkscorn,72820,
Kintsugi,72820,
Tulfall,72820,
Esh's Visage,72820,
Arborix,72820,
Apep's Supremacy,72820,
The Surging Thoughts,72820,
The Admiral,72820,
Replica Cold Iron Point,72820,
Replica Tulfall,72820,
Abberath's Hooves,69220,
Mjölner,68640,
Replica Abyssus,68640,
Replica Mistwall,68640,
The Iron Fortress,66640,
Farrul's Pounce,66640,
Fleshcrafter,66640,
Gravebind,66640,
Xoph's Nurture,64700,
Crown of the Tyrant,64700,
Crest of Desire,64700,
Farrul's Bite,62820,
Offering to the Serpent,62820,
Oriath's End,61500,
Garb of the Ephemeral,60980,
Maata's Teaching,60980,
Corpsewalker,59200,
The Fourth Vow,59200,
The Devouring Diadem,57480,
Qotra's Regulator,57480,
Atziri's Reflection,57480,
Sandstorm Visage,57480,
The Tempest Rising,57480,
Utula's Hunger,55820,
The Celestial Brace,55820,
Cloak of Defiance,54180,
Skin of the Lords,53040,
Zerphi's Heart,53040,
Svalinn,52600,
Taste of Hate,51080,
Inspired Learning,51080,
Replica Frostbreath,51080,
The Covenant,49580,
Anathema,49580,
Replica Covenant,49580,
Winds of Change,46740,
Death Rush,45380,
Emperor's Vigilance,45380,
Mahuxotl's Machination,45380,
The Pariah,44060,
Abhorrent Interrogation,44060,
The Tempest's Liberation,44060,
Perfidy,43840,
Ravenous Passion,42780,
Altered Distant Memory,42560,
Augmented Distant Memory,42560,
Twisted Distant Memory,42560,
Rewritten Distant Memory,42560,
Cortex,42560,
Hand of the Fervent,41520,
Impresence,41320,
Assailum,41320,
Tecrod's Gaze,41320,
Ulaman's Gaze,41320,
Kurgal's Gaze,41320,
Amanamu's Gaze,41320,
Mark of the Elder,38960,
Mark of the Shaper,38960,
Polaric Devastation,38960,
Replica Soul Strike,38000,
Replica Midnight Bargain,38000,
Brain Rattler,37820,
Razor of the Seventh Sun,37820,
Snakepit,37820,
The Scourge,37820,
Memory Vault,37820,
Grelwood Shank,37820,
Beltimber Blade,37820,
Vulconus,37820,
Augyre,37820,
Gloomfang,37820,
The Twilight Temple,36720,
The Gull,35820,
Severed in Sleep,35820,
United in Dream,35820,
Blackflame,35820,
Maligaro's Virtuosity,35640,
Asenath's Gentle Touch,35640,
Perandus Signet,35640,
Hidden Potential,35640,
Nebuloch,35640,
Hopeshredder,35640,
Shimmeron,35640,
Beacon of Madness,35640,
Sunblast,34780,
Doon Cuebiyari,34600,
Death's Door,34600,
Auxium,33600,
Flamesight,33600,
Galesight,33600,
Thundersight,33600,
The Ivory Tower,33600,
Leash of Oblation,33600,
Mistwall,33600,
Maw of Mischief,33600,
The Burden of Truth,33600,
The Apostate,32780,
Shadowstitch,32620,
Hegemony's Era,31680,
Replica Restless Ward,31680,
Lioneye's Remorse,30740,
Incandescent Heart,30740,
Rumi's Concoction,30740,
The Hungry Loop,30740,
Chains of Command,30740,
Black Zenith,30740,
Crown of Eyes,29860,
Ylfeban's Trickery,29860,
Voidwalker,29860,
Bubonic Trail,29860,
Craiceann's Pincers,29860,
Usurper's Penance,29860,
Replica Voidwalker,29860,
Vorana's March,29860,
Kaom's Spirit,29860,
The Shattered Divinity,29120,
Mon'tregul's Grasp,28980,
Pledge of Hands,28980,
Kaom's Roots,28980,
Voll's Vision,28980,
Malachai's Vision,28980,
Cospri's Will,28980,
Tinkerskin,28980,
Hand of Thought and Motion,28980,
The Infinite Pursuit,28980,
The Unshattered Will,28980,
Invictus Solaris,28980,
Cyclopean Coil,28980,
Blasphemer's Grasp,28980,
The Grey Spire,28980,
Bitterbind Point,28980,
Nebulis,28980,
Glorious Vanity,28980,
Lethal Pride,28980,
Militant Faith,28980,
Elegant Hubris,28980,
Atziri's Rule,28980,
Cadigan's Crown,28980,
The Taming,28280,
Circle of Ambition,28280,
The Bringer of Rain,28140,
Replica Oro's Sacrifice,28140,
Dawnbreaker,28140,
Dreamfeather,27320,
Repentance,27320,
Shaper's Touch,27320,
The Enmity Divine,27320,
Vix Lunaris,27320,
Voidfletcher,27320,
Hands of the High Templar,27320,
Font of Thunder,27320,
Replica Dreamfeather,27320,
The Goddess Scorned,26660,
Rime Gaze,26520,
Infernal Mantle,26520,
Ming's Heart,26520,
"Jack, the Axe",26520,
Doomsower,26520,
Scold's Bridle,26520,
The Formless Flame,26520,
The Snowblind Grace,26520,
Saqawal's Nest,26520,
Fenumus' Shroud,26520,
Hale Negator,26520,
Echoes of Creation,26520,
Bottled Faith,25880,
Replica Rumi's Concoction,25880,
Olroth's Resolve,25880,
Taryn's Shiver,25760,
Alpha's Howl,25760,
Rebuke of the Vaal,25760,
Hezmana's Bloodlust,25760,
Reach of the Council,25760,
Uul-Netol's Kiss,25760,
The Anticipation,25760,
Replica Alpha's Howl,25760,
Daresso's Defiance,25000,
Atziri's Acuity,25000,
Fenumus' Spinnerets,25000,
Crown of the Inward Eye,25000,
Astramentis,24400,
Presence of Chayula,24400,
Aul's Uprising,24400,
Solstice Vigil,24400,
Leadership's Price,24400,
Crystallised Omniscience,24400,
Ashes of the Stars,24400,
Stormfire,24340,
The Searing Touch,24280,
Carcass Jack,24280,
Death's Oath,24280,
The Vertex,24280,
Tulborn,24280,
Esh's Mirror,24280,
Yriel's Fostering,24280,
The Rippling Thoughts,24280,
Perepiteia,24280,
Fractal Thoughts,24280,
Cold Iron Point,24280,
Law of the Wilds,24280,
Blunderbore,24280,
Replica Wings of Entropy,24280,
Glimpse of Chaos,24280,
Dawnstrider,24280,
Rigwald's Savagery,23640,
Rigwald's Command,23640,
Slivertongue,23640,
Obscurantis,23640,
Inya's Epiphany,23560,
Replica Inya's Epiphany,23560,
The Living Blade,23560,
Abyssus,22880,
Lightning Coil,22880,
Null's Inclination,22880,
Dyadian Dawn,22880,
Rigwald's Curse,22880,
Grip of the Council,22880,
Saqawal's Flock,22880,
The Iron Mass,22880,
The Hidden Blade,22880,
The Fulcrum,22880,
Replica Grip of the Council,22880,
Cameria's Avarice,22880,
The Battle Within,22880,
Contract: The Twins,22580,
The Second Sacrament,22580,
The Original Scripture,22580,
Algor Mortis,22280,#REF!
Saffell's Frame,22220,
Queen of the Forest,22220,
Saqawal's Talons,22220,
Breathstealer,22220,
Expedition's End,22220,
Wilma's Requital,22220,
Gamblesprint,22220,
First Piece of Focus,21920,
Second Piece of Focus,21920,
Third Piece of Focus,21920,
Fourth Piece of Focus,21920,
First Piece of Storms,21920,
Second Piece of Storms,21920,
Third Piece of Storms,21920,
Contract: Death to Darnaw,21920,
The First Crest,21920,
Unyielding Flame,21640,
Xoph's Inception,21560,
Craiceann's Chitin,21560,
Mask of the Stitched Demon,21560,
Storm's Gift,21560,
Mask of the Tribunal,21560,
Contract: Jamanra's Rest,21280,
Contract: Heart of Glory,21280,
The Magnate,21040,
Lioneye's Fall,21040,
Intuitive Leap,21040,
Dead Reckoning,21040,
Emperor's Cunning,21040,
Emperor's Wit,21040,
Emperor's Might,21040,
Grand Spectrum,21040,
Unending Hunger,21040,
The Red Dream,21040,
The Green Dream,21040,
The Blue Dream,21040,
Pure Talent,21040,
Might of the Meek,21040,
Transcendent Flesh,21040,
Transcendent Spirit,21040,
Transcendent Mind,21040,
Unnatural Instinct,21040,
The Torrent's Reclamation,21040,
Replica Soul Tether,21040,
Replica Ungil's Gauche,21040,
Replica Primordial Might,21040,
Melding of the Flesh,21040,
Dissolution of the Flesh,21040,
Immutable Force,21040,
Stormshroud,21040,
Firesong,21040,
Witchbane,21040,
The Balance of Terror,21040,
Ancestral Vision,21040,
Bloodnotch,21040,
Warrior's Tale,21040,
The Adorned,21040,
Replica Badge of the Brotherhood,21040,
Perseverance,21000,
The Black Cane,21000,
Willowgift,21000,
Eye of Malice,21000,
Ancient Skull,21000,
Mind of the Council,20940,
The Crimson Storm,20940,
Kaom's Binding,20940,
Contract: Breaking the Unbreakable,20660,
Contract: The Slaver King,20660,
The Angel of Vengeance,20660,
The Narcissist,20660,
The Epiphany,20660,
The Depraved,20660,
The Twisted Trinity,20660,
The Raging Inferno,20660,
The Unbridled Tempest,20660,
Insomnia,20660,
The Chains of Castigation,20660,
The Power and the Promise,20660,
The Rat Cage,20320,
Craiceann's Carapace,20320,
Fate of the Vaal,20320,
Replica Dragonfang's Flight,20320,
Vessel of Vinktar,19840,
Dying Sun,19840,
Lioneye's Vision,19800,
Brinerot Mark,19740,
Redblade Band,19740,
Mutewind Seal,19740,
Ngamahu's Flame,19740,
Omeyocan,19740,
Tavukai,19740,
Replica Three-step Assault,19740,
Temptation Step,19740,
Great Old One's Tentacles,19220,
Ceaseless Feast,19220,
Inextricable Fate,19220,
Chitus' Apex,19160,
Daresso's Courage,19160,
Craiceann's Tracks,19160,
Fenumus' Toxins,19160,
Wraeclast Pantheon,18900,
The Perandus Manor,18900,
Eye of Innocence,18900,
First Piece of Brutality,18900,
Second Piece of Brutality,18900,
Third Piece of Brutality,18900,
First Piece of Directions,18900,
Second Piece of Directions,18900,
Third Piece of Directions,18900,
Leper's Alms,18900,
Atziri's Foible,18700,
Ahkeli's Meadow,18700,
Replica Emberwake,18700,
Dyadus,18660,
Atziri's Step,18660,
Cherrubim's Maleficence,18660,
Eber's Unification,18660,
Medved's Challenge,18660,
Rainbowstride,18600,
Apep's Rage,18600,
Lightpoacher,18600,
Forbidden Shako,18600,
Replica Infractem,18600,
The Putrid Cloister,18360,
The Beast Fur Shawl,18120,
Touch of Anguish,18120,
Ahn's Contempt,18120,
Ahn's Might,18120,
Gorgon's Gaze,18060,
Profane Proxy,18060,
Witchhunter's Judgment,18060,
Akoya's Gaze,18060,
Ynda's Stand,18060,
Grasping Nightshade,18060,
Death and Taxes,17820,
The Ephemeral Bond,17820,
The Gilded Chalice,17820,
The Broken Censer,17820,
Kongor's Undying Rage,17580,
Ahn's Heritage,17580,
Saqawal's Winds,17540,
Legacy of Fury,17540,
Devoto's Devotion,17300,
Olmec's Sanctum,17300,
Bloodgrip,17300,
Pillars of Arun,17300,
Agnerod East,17080,
Agnerod North,17080,
Agnerod South,17080,
Agnerod West,17080,
Breath of the Council,17080,
The Poised Prism,17080,
Andvarius,17020,
Rain of Splinters,17020,
Star of Wraeclast,17020,
Fenumus' Weave,17020,
Replica Victario's Charity,17020,
Replica Heartbreaker,17020,
Replica Lavianga's Spirit,17020,
Worldcarver,16800,
Painseeker,16800,
The Poet's Pen,16620,
Putembo's Mountain,16620,
Rise of the Phoenix,16580,
Darkray Vectors,16580,
Vis Mortis,16580,
Ventor's Gamble,16580,
Malachai's Loop,16580,
Cane of Kulemak,16520,
The Scales of Justice,16520,
Bound Fate,16520,
Oba's Cursed Trove,16320,
Death's Hand,16320,
"Caer Blaidd, Wolfpack's Den",16320,
The Beachhead,16320,
Doryani's Catalyst,16100,
Soul Strike,16100,
Geofri's Sanctuary,16100,
Hyrri's Truth,16100,
Rashkaldor's Patience,16040,
Witchfire Brew,16040,
Soul Tether,16040,
Maw of Conquest,16040,
The Jinxed Juju,16040,
Kaom's Command,16040,
Poorjoy's Asylum,15840,
BlackGuardz,15840,
Cagan's Map,15840,
Whakawairua Tuahu,15840,
The Restless Ward,15840,
Hallowed Ground,15840,
Replica Siegebreaker,15660,
Speaker's Wreath,15620,
The Stampede,15620,
Actum,15620,
Cerberus Limb,15580,
Replica Kalisa's Grace,15580,
Replica Innsbury Edge,15580,
Jaws of Agony,15380,
Pitch Darkness,15380,
Rive,15380,
Mercenary's Lot,15380,
The Oppressor,15380,
Hyaon's Fury,15180,
Singularity,15180,
Apep's Slumber,15180,
Belly of the Beast,15120,
Redblade Tramplers,15120,
Acton's Nightmare,14920,
Convent of the Twins' Flame,14920,
Hall of Grandmasters,14920,
Veruso's Battering Rams,14920,
Asenath's Mark,14760,
Uzaza's Valley,14760,
Scorpion's Call,14720,
Tawhoa's Felling,14720,
Soulthirst,14680,
The Tempest's Binding,14680,
Slavedriver's Hand,14680,
Vivinsect,14680,
Replica Malachai's Artifice,14680,
Replica Voideye,14680,
Rotblood Promise,14680,
Triumvirate Authority,14680,
Vaults of Atziri,14500,
Mao Kun,14500,
Izaro's Dilemma,14500,
Nuro's Harp,14500,
The Torturer,14500,
The Hateful Accuser,14500,
The Selfish Shepherd,14500,
The Queller of Minds,14500,
Xoph's Blood,14320,
The Pandemonius,14320,
Choir of the Storm,14320,
Replica Hyrri's Truth,14320,
Starkonja's Head,14300,
Romira's Banquet,14300,
The Writhing Jar,14300,
Scaeva,14300,
Cane of Unravelling,14300,
Soulwrest,14300,
Cowl of the Thermophile,14300,
Cowl of the Cryophile,14300,
The Blood Dance,14260,
Hinekora's Sight,14260,
Replica Hinekora's Sight,14260,
Maelström of Chaos,14060,
Robbie's Rotten Mace,14060,
Carl's Crusher,14060,
Oro's Sacrifice,14060,
Surgebinders,14060,
Spiritskin,14060,
Waycarver,14060,
The Infested,14060,
Piscator's Vigil,13880,
The Dancing Dervish,13880,
Hiltless,13880,
Dendrobate,13880,
Cowl of the Ceraunophile,13880,
Haemophilia,13840,
Volkuur's Guidance,13840,
Replica Volkuur's Guidance,13840,
Callinellus Malleus,13660,
The Goddess Unleashed,13660,
Allure,13660,
Debeon's Dirge,13660,
White Wind,13660,
Kaom's Primacy,13480,
Snakebite,13480,
Ichimonji,13480,
Mask of the Spirit Drinker,13480,
The Ghastly Theatre,13480,
The Gluttonous Tide,13480,
Mutewind Pennant,13440,
Mutewind Whispersteps,13440,
Tainted Pact,13440,
Null and Void,13080,
Kiloava's Bluster,13080,
The Supreme Truth,13040,
Nycta's Lantern,13040,
Tremor Rod,13040,
Brinerot Whalers,13040,
Allelopathy,13040,
Replica Allelopathy,13040,
Mark of the Doubting Knight,12880,
The Rack,12880,
Skin of the Loyal,12740,
Replica Atziri's Foible,12740,
Greed's Embrace,12700,
Story of the Vaal,12700,
Storm Secret,12700,
Ahuana's Bite,12700,
Marylene's Fallacy,12660,
Call of the Brotherhood,12660,
Emberwake,12660,
Trypanon,12660,
Voice of the Storm,12660,
Fury Valve,12660,
Mother's Embrace,12660,
Blood Price,12660,
Thousand Teeth Temu,12500,
The Broken Crown,12500,
The Retch,12360,
Voidbringer,12340,
Dance of the Offered,12340,
Admiral's Arrogance,12300,
Sin Trek,12140,
Chin Sol,12140,
Wings of Entropy,12140,
Santoni's Faith,12140,
Fairgraves' Bearing,12140,
Borrowed Power,12140,
Bloodletter,12140,
Rumblemarch,12140,
Sinvicta's Mettle,12140,
The Basilisk,12140,
Emperor's Mastery,12000,
The Anima Stone,12000,
Voices,12000,
Sublime Vision,12000,
Voidhome,11980,
Pyroshock Clasp,11980,
Circle of Nostalgia,11940,
Chernobog's Pillar,11780,
Kingsguard,11780,
Kondo's Pride,11780,
Geofri's Crest,11620,
Bronn's Lithe,11620,
The Consuming Dark,11620,
The Coming Calamity,11620,
Serle's Masterwork,11620,
Command of the Pit,11600,
Replica Harvest,11600,
The Coward's Trial,11440,
Untainted Paradise,11440,
Cameria's Maul,11440,
Malicious Intent,11440,
Balefire,11440,
The Wasp Nest,11440,
Taproot,11440,
The Druggery,11440,
Goblinedge,11440,
The Benefactor,11440,
The Redblade,11440,
Victario's Influence,11280,
Crown of the Pale King,11280,
Oskarm,11280,
Aurseize,11260,
Tombfist,11260,
Vixen's Entrapment,11260,
Moonsorrow,11100,
Obliteration,11100,
Farsight,11100,
Replica Soul Taker,11100,
The Dancing Duo,11100,
The Fledgling,10960,
Voll's Protector,10920,
Meginord's Vise,10920,
Lion's Roar,10920,
Redblade Banner,10920,
Xoph's Heart,10920,
The Halcyon,10920,
Replica Earendel's Embrace,10920,
Leviathan Ivory,10780,
Rory's Revengance,10780,
Mark2's Mastery,10780,
Gang's Momentum,10780,
Femurs of the Saints,10780,
Lawbreaker,10780,
March of the Legion,10780,
Sign of the Sin Eater,10780,
Rotting Legion,10780,
The Hollow-Eyed Skull,10780,
The Ancient Angler,10780,
The Burden of Shadows,10780,
Blood of the Karui,10640,
Lavianga's Spirit,10640,
Warped Timepiece,10640,
Heartbound Loop,10640,
Frostbreath,10640,
Darkness Enthroned,10640,
Perquil's Toe,10640,
Nametaker,10640,
Soul Mantle,10340,
Alberon's Warpath,10340,
Sire of Shards,10340,
Wyrmsign,10340,
Venopuncture,10340,
Icefang Orbit,10340,
Shattershard,10340,
Steelworm,10340,
Tanu Ahi,10340,
Bloodsoaked Medallion,10340,
Windscream,10300,
Deidbell,10300,
The Whispering Ice,10300,
Prospero's Vault,10160,
Gluttony,10020,
Nightgrip,10020,
Olroth's Charge,10020,
Sudden Dawn,10020,
Ephemeral Edge,10000,
Death's Harp,10000,
Bitterdream,10000,
Replica Iron Commander,10000,
The Hand of Phrecia,10000,
Wildfire Phloem,10000,
Hrimnor's Resolve,9860,
Rat's Nest,9860,
Maloney's Nightfall,9860,
Three-step Assault,9860,
The Ascetic,9860,
The Highwayman,9860,
Innsbury Edge,9740,
The Fracturing Spinner,9700,
Atziri's Mirror,9580,
The Arbiter,9580,
Great Old One's Ward,9460,
Replica Advancing Fortress,9460,
Kahuturoa's Certainty,9460,
Divination Distillate,9420,
Umbilicus Immortalis,9420,
Xirgil's Crank,9420,
Bisco's Collar,9420,
Bisco's Leash,9420,
Replica Lioneye's Paws,9420,
Relic of the Pact,9420,
Infractem,9300,
Felltooth,9300,
Prismatic Eclipse,9300,
Empire's Grasp,9300,
Disjunction,9300,
Replica Forbidden Shako,9300,
Geofri's Legacy,9300,
Voideye,9180,
Forbidden Taste,9180,
Malachai's Artifice,9180,
Kongming's Stratagem,9180,
Essence Worm,9180,
Architect's Hand,9180,
The Annihilating Light,9180,
Stormseeker,9180,
The Geomantic Gyre,9040,
Maligaro's Restraint,8920,
Jorrhast's Blacksteel,8920,
Natural Hierarchy,8920,
Ascent From Flesh,8920,
Kitava's Thirst,8920,
Soulbound,8920,
Doomfletch,8880,
Brutus' Lead Sprinkler,8880,
Terminus Est,8760,
Black Sun Crest,8760,
Southbound,8760,
Ambu's Charge,8660,
Replica Ambu's Charge,8660,
Vaal Caress,8620,
Cinderswallow Urn,8620,
Replica Sorrow of the Divine,8620,
Starlight Chalice,8620,
Elixir of the Unbroken Circle,8620,
Replica Witchfire Brew,8620,
Heartbreaker,8520,
Immortal Flesh,8520,
Mantra of Flames,8520,
Victario's Charity,8520,
The Embalmer,8520,
Zeel's Amplifier,8260,
The Eternal Apple,8260,
Pragmatism,8260,
Demon Stitcher,8160,
Eye of Chayula,8140,
The Eternal Struggle,8140,
Midnight Bargain,7920,
Ceinture of Benevolence,7920,
Dream Fragments,7900,
Reverberation Rod,7900,
Winterweave,7900,
Doedre's Tongue,7900,
Kalisa's Grace,7800,
Arimagius' Honor,7800,
Lightbane Raiment,7800,
Doedre's Scorn,7680,
Moonbender's Wing,7680,
The Flawed Refuge,7680,
Ungil's Harmony,7660,
Brinerot Flag,7660,
Ornament of the East,7560,
Advancing Fortress,7560,
Valako's Sign,7460,
Replica Bones of Ullr,7440,
The Blood Reaper,7340,
Deadman's Hand,7340,
Sibyl's Lament,7340,
The Anvil,7340,
Maligaro's Lens,7340,
Mark of Submission,7340,
The Signal Fire,7340,
Corona Solaris,7340,
The Harvest,7240,
Rigwald's Charge,7120,
Widowmaker,7120,
Siegebreaker,7120,
Tawhanuku's Timing,7120,
Heatshiver,7020,
Berek's Respite,7020,
To Dust,7020,
Fertile Mind,7020,
Fluid Motion,7020,
Fevered Mind,7020,
Efficient Training,7020,
Brute Force Solution,7020,
Careful Planning,7020,
Inertia,7020,
Atziri's Reign,7020,
Chill of Corruption,7020,
Self-Flagellation,7020,
Pacifism,7020,
Fragility,7020,
Powerlessness,7020,
Energised Armour,7020,
Energy From Within,7020,
Healthy Mind,7020,
Reckless Defence,7020,
Rigwald's Crest,7020,
Primordial Harmony,7020,
Primordial Might,7020,
Primordial Eminence,7020,
The Flow Untethered,7020,
The Golden Rule,7020,
Soul's Wick,7020,
Fortress Covenant,7020,
Quickening Covenant,7020,
Thread of Hope,7020,
Split Personality,7020,
Replica Tempestuous Steel,7020,
Replica Reckless Defence,7020,
Arn's Anguish,7020,
Olesya's Delight,7020,
Graven's Secret,7020,
Forbidden Flame,7020,
Forbidden Flesh,7020,
Impossible Escape,7020,
That Which Was Taken,7020,
Ixchel's Temptation,7020,
Replica Pacifism,7020,
Replica Fragility,7020,
Replica Powerlessness,7020,
Replica Heatshiver,7020,
Nevalius Inheritance,7020,
Daresso's Passion,6920,
El'Abin's Visage,6920,
Bloodbond,6820,
Wurm's Molt,6720,
Winterheart,6720,
Goldwyrm,6640,
The Primordial Chain,6640,
Plume of Pursuit,6640,
Veruso's Ambition,6640,
Cloak of Flame,6620,
Coruscating Elixir,6620,
Sap of the Seasons,6620,
Mightblood Ire,6620,
Clayshaper,6520,
Sentari's Answer,6440,
Chober Chaber,6340,
Selfless Leadership,6340,
Static Electricity,6340,
Might in All Forms,6340,
Rotgut,6340,
Eclipse Solaris,6340,
Chaber Cairn,6340,
The Aylardex,6260,
Iron Commander,6260,
Replica Bitterdream,6260,
Ahkeli's Valley,6240,
Precursor's Emblem,6240,
Circle of Anguish,6240,
Icetomb,6140,
Crystal Vault,6140,
Orbala's Stand,6140,
Rearguard,6060,
Shadows and Dust,6060,
Demigod's Beacon,6060,
Aukuna's Will,6060,
Replica Winterheart,6060,
Valyrium,5980,
Escalation,5980,
Lioneye's Paws,5900,
Thief's Torment,5900,
Lori's Lantern,5900,
Replica Twyzel,5900,
Zahndethus' Cassock,5800,
Mindspiral,5800,
Cybil's Paw,5800,
Torchoak Step,5800,
Chalice of Horrors,5720,
Ngamahu's Sign,5720,
Skullhead,5620,
Skirmish,5620,
Gifts from Above,5560,
Blightwell,5560,
Replica Leer Cast,5560,
Putembo's Meadow,5540,
Circle of Regret,5540,
The Three Dragons,5460,
Earendel's Embrace,5460,
Willclash,5460,
Meginord's Vigour,5460,
The Sorrow of the Divine,5400,
The Overflowing Chalice,5400,
Coralito's Signature,5400,
Soul Catcher,5400,
Vorana's Preparation,5400,
Lycosidae,5380,
Mortem Morsu,5300,
Ylfe Ban,5300,
Al Dhih,5240,
The Baron,5240,
Fairgraves' Tricorne,5220,
Hyperboreus,5220,
Survivor's Guilt,5220,
Reaper's Pursuit,5160,
Deidbellow,5160,
Windshriek,5160,
Drillneck,5080,
Timeclasp,5080,
Faithguard,5080,
Grattus Signet,5080,
Shavronne's Pace,5000,
Stillwater,5000,
Briskwrap,5000,
Flesh-Eater,5000,
Triad Grip,5000,
Shavronne's Gambit,5000,
Death's Opus,5000,
Le Heup of All,4940,
Pyre,4920,
The Wise Oak,4920,
Uzaza's Mountain,4920,
Circle of Fear,4920,
Replica Tasalio's Sign,4920,
Call of the Void,4920,
Ikiaho's Promise,4860,
Matua Tupuna,4800,
The Trickster's Smile,4800,
Blood of Corruption,4780,
Replica Karui Ward,4780,
Mightflay,4720,
Titucius' Span,4720,
Twyzel,4720,
Eldritch Knowledge,4720,
Fortified Legion,4720,
Chitus' Needle,4720,
The Warden's Brand,4720,
Retaliation Charm,4720,
Elevore,4720,
Veil of the Night,4660,
Edge of Madness,4660,
Replica Veil of the Night,4660,
Relentless Fury,4580,
Thirst for Horrors,4580,
Fated End,4500,
Replica Doedre's Damning,4500,
Wake of Destruction,4440,
Leer Cast,4440,
Death Rattle,4440,
Lakishu's Blade,4440,
The Stormheart,4440,
Viper's Scales,4440,
Doomfletch's Prism,4440,
The Stormwall,4440,
Meginord's Girdle,4380,
Berek's Pass,4380,
Berek's Grip,4380,
Kikazaru,4380,
Belt of the Deceiver,4380,
Tasalio's Sign,4380,
Spirit Guards,4380,
Maligaro's Cruelty,4380,
Tempered Flesh,4380,
Tempered Spirit,4380,
Tempered Mind,4380,
Combat Focus,4380,
Curtain Call,4380,
The Felbog Fang,4380,
Endless Misery,4380,
Apex Mode,4380,
